text,id,date
"@swiggy_in @SUBWAY horrible customer service. Food ordered and sent incomplete and the only response given is a weak attempt to buy out by providing a coupon and a ""promise"" to penalise the restaurant. Ridiculous. #ethicsbedamned Order No. 51811735798.",1174003695324844034#,Tue Sep 17 16:54:27 +0000 2019
I AM DIETING CAN YOU STOP @swiggy_in https://t.co/RkVpREPqGA,1174003652920406016#,Tue Sep 17 16:54:17 +0000 2019
@tarakrowdy @cheeku1896 @Gautam_D7 @swiggy_in #VMega  Vijayalakshmi theatre vachi choodu or  Google lo search chasi photo chodu @UV_Creations  #VCelluloid and  @SdcCinemas coming soon with renovation,1174003398695251968#,Tue Sep 17 16:53:16 +0000 2019
@swiggy_in @SwiggyCares @SonyTV request Sony TV don't have swiggy as sponsor because they are not worth they have worst customer service which doesn't go with KBC request remove them,1174003329849950208#,Tue Sep 17 16:53:00 +0000 2019
@swiggy_in order from subway. Your delivery guy refused to turn up and marked the order as delivered. His name Neeraj Kumar. His number 70652 26523 my order id in the screenshot. Such pathetic service https://t.co/hcsMqriplf,1174003260983660544#,Tue Sep 17 16:52:44 +0000 2019
"@ChefsTandoor @swiggy_in Swiggy believes in only making money, no importance to customer satisfaction",1174002952224288768#,Tue Sep 17 16:51:30 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174002910184624131#,Tue Sep 17 16:51:20 +0000 2019
"RT @virsanghvi: I agree.Would rather eat street food over much of what passes for restaurant food in India.

Dear Swiggy, Zomato, Please Ge…",1174002895538311169#,Tue Sep 17 16:51:16 +0000 2019
@swiggy_in @SwiggyCares over to you guys now. :'),1174002872221982722#,Tue Sep 17 16:51:11 +0000 2019
@SwiggyCares @harshamjty @swiggy_in #scam #fraud #Cheater new fraud or trick from @SwiggyCares @harshamjty after order taken from paid client without any information they had cancelled @swiggy_in @WeAreSwiggy,1174002772984791041#,Tue Sep 17 16:50:47 +0000 2019
"bumped into a classmate who was weeping in the college washroom today. I stayed with her and talked to her till she was okay. just got a call from a Swiggy guy asking the directions to my house. she's surprised me with cheesecake :)
lowkey weeping 😭😭",1174002363717210112#,Tue Sep 17 16:49:10 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174002272256135168#,Tue Sep 17 16:48:48 +0000 2019
RT @ItsSachinShah: It is more than the videos that are shared on Twitter. It is one of the fastest growing social media platforms and will…,1174001851550748672#,Tue Sep 17 16:47:07 +0000 2019
"It is more than the videos that are shared on Twitter. It is one of the fastest growing social media platforms and will have huge reach in 2 years. A lot of brands like Swiggy, Hago, etc. are riding on it's growth and spending money there. Other brands will follow soon. https://t.co/ejfrbDS7fK",1174001646239547392#,Tue Sep 17 16:46:19 +0000 2019
"RT @AkanchaS: Hey @swiggy_in @SwiggyCares, someone sent these pictures. Respect to him and you! 🙌💯
#PictureOfTheDay https://t.co/58oeymhap8",1174001483273998338#,Tue Sep 17 16:45:40 +0000 2019
"@swiggy_in @SwiggyCares @faasos 

It was so much disappointing for me when I got jumbo meal from faasos kolkata and see what I got was rice for 100 bucks instead of rice +Curry.

Swiigy I don't crave for discounts of 40 or 50% off. I crave for good food. https://t.co/ggTTY5uMSC",1174001435379290113#,Tue Sep 17 16:45:28 +0000 2019
"@swiggy_in @SwiggyCares worst service experienced in Gurgaon. Can some one from your management team contact me.

Huge blunders have you guys done for 3 times in just 2 weeks.",1174001416819507200#,Tue Sep 17 16:45:24 +0000 2019
"Disappointing experience from @swiggy_in  @SwiggyCares , being a swiggy pop user my order got in pending status of for 3 times in month, 
Disappointing experience , 0/5",1174001234342072321#,Tue Sep 17 16:44:40 +0000 2019
@HrisHikesH_HHH @InspectorMahi Chutiyapa Hai Swiggy &gt;&gt;&gt;,1174001034823233537#,Tue Sep 17 16:43:53 +0000 2019
"RT @rama_rajeswari: Ability is greater than disability. 
@swiggy_in great job👍🏼👍🏼 https://t.co/xn3rVYUQ9f",1174000799627784192#,Tue Sep 17 16:42:57 +0000 2019
"RT @rama_rajeswari: Ability is greater than disability. 
@swiggy_in great job👍🏼👍🏼 https://t.co/xn3rVYUQ9f",1174000464058142720#,Tue Sep 17 16:41:37 +0000 2019
"RT @AkanchaS: Hey @swiggy_in @SwiggyCares, someone sent these pictures. Respect to him and you! 🙌💯
#PictureOfTheDay https://t.co/58oeymhap8",1174000399449317376#,Tue Sep 17 16:41:21 +0000 2019
"RT @Bakrolwala: @AkanchaS @swiggy_in @SwiggyCares @ZomatoIN @Zomato is more professional &amp; technologically savvy.

They have gifted a diffe…",1174000390179827712#,Tue Sep 17 16:41:19 +0000 2019
@swiggy_in Don't you think it's your responsibility to use your tracking technology to make sure your delivery partners don't break traffic rules and endanger others life ? Please don't give your standard reply to call toll-free no. https://t.co/F7aI9SR0Fv,1174000232419323904#,Tue Sep 17 16:40:41 +0000 2019
"@SwiggyCares You really want me to believe that swiggy ""cares"" ? I doubt it",1173999775990996995#,Tue Sep 17 16:38:53 +0000 2019
@swiggy_in Mentioned my order id..send me my refund for my pathetic service,1173999646173102080#,Tue Sep 17 16:38:22 +0000 2019
"RT @rksharma0312: This proves no matter how hard time hits you, you still smile and say cheers to Life! 😢

A Great lesson to learn,
Kudos #…",1173999626820571136#,Tue Sep 17 16:38:17 +0000 2019
"सोच रहा हूँ मित्रों
अब @swiggy_in जॉइन कर ही लूँ 😎

कुछ खर्चा पानी चले सच मे बहुत मंदी है यार🙂",1173999496490962944#,Tue Sep 17 16:37:46 +0000 2019
@Marwaari @Zomato @swiggy_in Ok bye...,1173999339171012608#,Tue Sep 17 16:37:08 +0000 2019
"@Marwaari @Zomato , @swiggy_in",1173999140868460544#,Tue Sep 17 16:36:21 +0000 2019
"RT @rama_rajeswari: Ability is greater than disability. 
@swiggy_in great job👍🏼👍🏼 https://t.co/xn3rVYUQ9f",1173999128033939459#,Tue Sep 17 16:36:18 +0000 2019
@swiggy_in What about marwaris &amp; jains,1173998887004073985#,Tue Sep 17 16:35:21 +0000 2019
"RT @Bakrolwala: @AkanchaS @swiggy_in @SwiggyCares @ZomatoIN @Zomato is more professional &amp; technologically savvy.

They have gifted a diffe…",1173998881706627072#,Tue Sep 17 16:35:19 +0000 2019
"Swiggy, Dunzo open doors to dark stores to go hyperlocal https://t.co/jovWC7quNn",1173998812760657920#,Tue Sep 17 16:35:03 +0000 2019
"RT @AkanchaS: Hey @swiggy_in @SwiggyCares, someone sent these pictures. Respect to him and you! 🙌💯
#PictureOfTheDay https://t.co/58oeymhap8",1173998717914927104#,Tue Sep 17 16:34:40 +0000 2019
@swiggy_in @SwiggyCares received all wrong orders. Now nobody is responding either on the app or on the helpline. What nonsense!,1173998655868530688#,Tue Sep 17 16:34:26 +0000 2019
@swiggy_in @SwiggyCares Just ordered this from Giani icecream but what I got is melted and spilled icecream.Very bad experience #patheticservice https://t.co/8bXYVm91Q1,1173998389865771008#,Tue Sep 17 16:33:22 +0000 2019
"@BeCureFit I hate to say it, but is the first time favourite brand has disappointed me. Don't get into food delivery if you can't be @swiggy_in or @ZomatoIN",1173998209816875008#,Tue Sep 17 16:32:39 +0000 2019
RT @SharmaShradha: Must watch by everyone who has got a delivery at home or office! https://t.co/A9G7NMcsoL brilliant @harshamjty 💛👏👏👏 #nam…,1173998111825395712#,Tue Sep 17 16:32:16 +0000 2019
"5 things you can learn from Swiggy's most engaging Instagram posts 👉 https://t.co/3USS78ceYL via @SlideShare 

#instagram https://t.co/g6k1YLjbEa",1173997744719110146#,Tue Sep 17 16:30:48 +0000 2019
"RT @AkanchaS: Hey @swiggy_in @SwiggyCares, someone sent these pictures. Respect to him and you! 🙌💯
#PictureOfTheDay https://t.co/58oeymhap8",1173997736636497920#,Tue Sep 17 16:30:46 +0000 2019
@swiggy_in 😕 items missed + https://t.co/xhWG866giC,1173997652465160192#,Tue Sep 17 16:30:26 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1173997645376811008#,Tue Sep 17 16:30:25 +0000 2019
@vinay_boyina @swiggy_in @SwiggyCares wo sab chhodo. bhai ye aisa screenshot kese lete h? please explain,1173997284205289472#,Tue Sep 17 16:28:59 +0000 2019
@swiggy_in behalf of 1 order( 7151) got more than 25 calls from operators.... With that increases my blood pressure by 20mmHg...its may be dangerous for me.. Kindly stop this kind of services,1173997191959965696#,Tue Sep 17 16:28:37 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1173997157386522625#,Tue Sep 17 16:28:28 +0000 2019
@SwiggyCares I didn't receive any call. @swiggy_in how much time you will take to call back ? Current order also not fulfilled. App showing dish is available but restaurant not having the dish. what is this?,1173996947490758656#,Tue Sep 17 16:27:38 +0000 2019
"RT @AkanchaS: Hey @swiggy_in @SwiggyCares, someone sent these pictures. Respect to him and you! 🙌💯
#PictureOfTheDay https://t.co/58oeymhap8",1173996636055277568#,Tue Sep 17 16:26:24 +0000 2019
